symbol,entry_date,exit_date_actual,entry_price,exit_price_actual,qty,actual_pnl_usd,sim_exit_date,sim_exit_price,simulated_pnl_usd,sim_exit_reason,improvement_usd,broker
Q,2026-03-11,2026-03-12,115.0846,111.37,1518,-5638.82,2026-03-12,112.7829,-3493.97,emergency_sl,2144.85,ALPACA
QCOM,2026-03-04,2026-03-10,137.5039,133.2833,18,-75.97,2026-03-06,134.7538,-49.5,emergency_sl,26.47,ALPACA
SMCI,2026-03-03,2026-03-04,30.6887,31.07,8,3.05,2026-03-03,30.075,-4.91,emergency_sl,-7.96,ALPACA
SMCI,2026-03-04,2026-03-11,32.3311,32.81,213,102.0,2026-03-04,31.6845,-137.73,emergency_sl,-239.73,ALPACA
SMCI,2026-03-04,2026-03-11,32.2424,32.81,213,120.9,2026-03-04,31.5975,-137.35,emergency_sl,-258.25,ALPACA
SNA,2026-03-03,2026-03-09,379.98,364.67,1,-15.31,2026-03-06,372.3804,-7.6,emergency_sl,7.71,ALPACA
SNA,2026-03-03,2026-03-09,364.67,364.67,1,0.0,2026-03-03,383.84,19.17,blow_off,19.17,ALPACA
SNDK,2026-03-03,2026-03-09,580.29,548.83,1,-31.46,2026-03-03,568.6842,-11.61,emergency_sl,19.85,ALPACA
SNDK,2026-03-11,2026-03-11,625.0417,634.13,29,263.56,2026-03-11,655.43,881.26,blow_off,617.7,ALPACA
SNDK,2026-03-11,2026-03-11,624.4757,635.7,14,157.14,2026-03-11,655.43,433.36,blow_off,276.22,ALPACA
SNDK,2026-03-11,2026-03-11,624.0937,634.58,7,73.4,2026-03-11,655.43,219.35,blow_off,145.95,ALPACA
SNDK,2026-03-11,2026-03-11,624.246,634.5,4,41.02,2026-03-11,655.43,124.74,blow_off,83.72,ALPACA
SNDK,2026-03-11,2026-03-11,624.0,636.0,2,24.0,2026-03-11,655.43,62.86,blow_off,38.86,ALPACA
SNDK,2026-03-11,2026-03-11,624.0,635.5,1,11.5,2026-03-11,655.43,31.43,blow_off,19.93,ALPACA
SNDK,2026-03-11,2026-03-12,624.0,633.6,1,9.6,2026-03-11,655.43,31.43,blow_off,21.83,ALPACA
SNPS,2026-03-03,2026-03-10,427.43,433.78,5,31.75,2026-03-03,418.8814,-42.74,emergency_sl,-74.49,ALPACA
SNPS,2026-03-03,2026-03-10,426.9,433.54,1,6.64,2026-03-03,418.362,-8.54,emergency_sl,-15.18,ALPACA
SNPS,2026-03-03,2026-03-10,425.346,433.956,5,43.05,2026-03-03,416.8391,-42.53,emergency_sl,-85.58,ALPACA
WDC,2026-03-04,2026-03-10,267.54,275.99,12,101.4,2026-03-04,262.1892,-64.21,emergency_sl,-165.61,ALPACA
WDC,2026-03-04,2026-03-10,267.54,276.98,6,56.64,2026-03-04,262.1892,-32.1,emergency_sl,-88.74,ALPACA
WDC,2026-03-04,2026-03-10,267.54,276.99,6,56.7,2026-03-04,262.1892,-32.1,emergency_sl,-88.8,ALPACA
